codigo;nome;tipo;descricao
1112011800000000;"Imposto sobre a Propriedade Territorial Rural - Municípios Conveniados - Juros de Mora da Dívida Ativa";A;"Vide descrição do código de receita principal."
1112012000000000;"Imposto sobre a Propriedade Territorial Rural - Municípios Não-Conveniados";S;"Registra as receitas que se originaram de Impostos sobre a Propriedade Territorial Rural em Municípios que não possuem convˆnio com a União para fiscalização do referido tributo."
1112012100000000;"Imposto sobre a Propriedade Territorial Rural - Municípios Não-Conveniados - Principal";A;"Vide descrição do código de receita principal."
1112012200000000;"Imposto sobre a Propriedade Territorial Rural - Municípios Não-Conveniados - Multas e Juros de Mora";A;"Vide descrição do código de receita principal."
1112012300000000;"Imposto sobre a Propriedade Territorial Rural - Municípios Não-Conveniados - Dívida Ativa";A;"Vide descrição do código de receita principal."
1112012400000000;"Imposto sobre a Propriedade Territorial Rural - Municípios Não-Conveniados - Dívida Ativa - Multas e Juros de Mora da Dívida Ativa";A;"Vide descrição do código de receita principal."
1112012500000000;"Imposto sobre a Propriedade Territorial Rural - Municípios Não-Conveniados - Multas";A;"Vide descrição do código de receita principal."
1112012600000000;"Imposto sobre a Propriedade Territorial Rural - Municípios Não-Conveniados - Juros de Mora";A;"Vide descrição do código de receita principal."
1112012700000000;"Imposto sobre a Propriedade Territorial Rural - Municípios Não-Conveniados - Dívida Ativa - Multas da Dívida Ativa";A;"Vide descrição do código de receita principal."
1112012800000000;"Imposto sobre a Propriedade Territorial Rural - Municípios Não-Conveniados - Juros de Mora da Dívida Ativa";A;"Vide descrição do código de receita principal."
1112500000000000;"Imposto sobre a Propriedade Predial e Territorial Urbana";S;"Registra o valor total da arrecadação de imposto sobre a propriedade predial e territorial urbana, de competência dos Municípios. Tem como fato gerador a propriedade, o domínio útil ou a posse de bem imóvel por natureza ou por acessão física, como definido na lei civil, localizado na zona urbana do município."
1112500100000000;"Imposto sobre a Propriedade Predial e Territorial Urbana - Principal";A;"Vide descrição do código de receita principal."
1112500200000000;"Imposto sobre a Propriedade Predial e Territorial Urbana - Multas e Juros de Mora";A;"Vide descrição do código de receita principal."
1112500300000000;"Imposto sobre a Propriedade Predial e Territorial Urbana - Dívida Ativa";A;"Vide descrição do código de receita principal."
1112500400000000;"Imposto sobre a Propriedade Predial e Territorial Urbana - Dívida Ativa - Multas e Juros de Mora da Dívida Ativa";A;"Vide descrição do código de receita principal."
1112500500000000;"Imposto sobre a Propriedade Predial e Territorial Urbana - Multas";A;"Vide descrição do código de receita principal."
1112500600000000;"Imposto sobre a Propriedade Predial e Territorial Urbana - Juros de Mora";A;"Vide descrição do código de receita principal."
1112500700000000;"Imposto sobre a Propriedade Predial e Territorial Urbana - Dívida Ativa - Multas da Dívida Ativa";A;"Vide descrição do código de receita principal."
1112500800000000;"Imposto sobre a Propriedade Predial e Territorial Urbana - Juros de Mora da Dívida Ativa";A;"Vide descrição do código de receita principal."
1112510000000000;"Imposto sobre a Propriedade de Veículos Automotores";S;"Registra o valor total da arrecadação de imposto que incide sobre o valor do veículo automotor sujeito a licenciamento pelos órgãos competentes. De competência dos Estados."
1112510100000000;"Imposto sobre a Propriedade de Veículos Automotores - Principal";A;"Vide descrição do código de receita principal."
1112510200000000;"Imposto sobre a Propriedade de Veículos Automotores - Multas e Juros de Mora";A;"Vide descrição do código de receita principal."
1112510300000000;"Imposto sobre a Propriedade de Veículos Automotores - Dívida Ativa";A;"Vide descrição do código de receita principal."
1112510400000000;"Imposto sobre a Propriedade de Veículos Automotores - Dívida Ativa - Multas e Juros de Mora da Dívida Ativa";A;"Vide descrição do código de receita principal."
1112510500000000;"Imposto sobre a Propriedade de Veículos Automotores - Multas";A;"Vide descrição do código de receita principal."
1112510600000000;"Imposto sobre a Propriedade de Veículos Automotores - Juros de Mora";A;"Vide descrição do código de receita principal."
1112510700000000;"Imposto sobre a Propriedade de Veículos Automotores - Dívida Ativa - Multas da Dívida Ativa";A;"Vide descrição do código de receita principal."
1112510800000000;"Imposto sobre a Propriedade de Veículos Automotores - Juros de Mora da Dívida Ativa";A;"Vide descrição do código de receita principal."
1112520000000000;"Imposto sobre Transmissão ?Causa Mortis? e Doação de Bens e Direitos";X;""Registra o valor total da arrecadação de imposto sobre a Transmissão ?causa mortis? e a doação de: propriedade ou domínio útil de bens imóveis"
1112520100000000;"Imposto sobre Transmissão ?Causa Mortis? e Doação de Bens e Direitos - Principal";A;"Vide descrição do código de receita principal."
1112520200000000;"Imposto sobre Transmissão ?Causa Mortis? e Doação de Bens e Direitos - Multas e Juros de Mora";A;"Vide descrição do código de receita principal."
1112520300000000;"Imposto sobre Transmissão ?Causa Mortis? e Doação de Bens e Direitos - Dívida Ativa";A;"Vide descrição do código de receita principal."
1112520400000000;"Imposto sobre Transmissão ?Causa Mortis? e Doação de Bens e Direitos - Dívida Ativa - Multas e Juros de Mora da Dívida Ativa";A;"Vide descrição do código de receita principal."
1112520500000000;"Imposto sobre Transmissão ?Causa Mortis? e Doação de Bens e Direitos - Multas";A;"Vide descrição do código de receita principal."
1112520600000000;"Imposto sobre Transmissão ?Causa Mortis? e Doação de Bens e Direitos - Juros de Mora";A;"Vide descrição do código de receita principal."
1112520700000000;"Imposto sobre Transmissão ?Causa Mortis? e Doação de Bens e Direitos - Dívida Ativa - Multas da Dívida Ativa";A;"Vide descrição do código de receita principal."
1112520800000000;"Imposto sobre Transmissão ?Causa Mortis? e Doação de Bens e Direitos - Juros de Mora da Dívida Ativa";A;"Vide descrição do código de receita principal."
1112530000000000;""Impostos sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis"";S;"Registra o valor total da arrecadação de imposto sobre Transmissão ?inter-vivos? de bens imóveis e de direitos reais sobre imóveis de competência municipal, incide sobre o valor venal dos bens ou direitos transmitidos ou cedidos. Tem o fato gerador no momento da lavradura do instrumento ou ato que servir de título às transmissões ou às cessões."
1112530100000000;""Impostos sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal"";A;"Vide descrição do código de receita principal."
1112530200000000;""Impostos sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis - Multas e Juros de Mora"";A;"Vide descrição do código de receita principal."
1112530300000000;""Impostos sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida Ativa"";A;"Vide descrição do código de receita principal."
1112530400000000;""Impostos sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida Ativa - Multas e Juros de Mora da Dívida Ativa"";A;"Vide descrição do código de receita principal."
1112530500000000;""Impostos sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis - Multas"";A;"Vide descrição do código de receita principal."
1112530600000000;""Impostos sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis - Juros de Mora"";A;"Vide descrição do código de receita principal."
1112530700000000;""Impostos sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida Ativa - Multas da Dívida Ativa"";A;"Vide descrição do código de receita principal."
1112530800000000;""Impostos sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis - Juros de Mora da Dívida Ativa"";A;"Vide descrição do código de receita principal."
1113000000000000;"Impostos sobre a Renda e Proventos de Qualquer Natureza";S;"Agrega as receitas originadas de Impostos sobre a Renda e Proventos de Qualquer Natureza."
1113010000000000;"Imposto sobre a Renda de Pessoa Física - IRPF";S;"Registra as receitas originadas de rendimentos e ganhos de capital percebidos pelas pessoas físicas residentes ou domiciliadas no Brasil, que não estejam sujeitas a tributação exclusiva na fonte."
1113010100000000;"Imposto sobre a Renda de Pessoa Física - IRPF - Principal";A;"Vide descrição do código de receita principal."
1113010200000000;"Imposto sobre a Renda de Pessoa Física - IRPF - Multas e Juros de Mora";A;"Vide descrição do código de receita principal."
1113010300000000;"Imposto sobre a Renda de Pessoa Física - IRPF - Dívida Ativa";A;"Vide descrição do código de receita principal."
1113010400000000;"Imposto sobre a Renda de Pessoa Física - IRPF - Dívida Ativa - Multas e Juros de Mora da Dívida Ativa";A;"Vide descrição do código de receita principal."
1113010500000000;"Imposto sobre a Renda de Pessoa Física - IRPF - Multas";A;"Vide descrição do código de receita principal."
1113010600000000;"Imposto sobre a Renda de Pessoa Física - IRPF - Juros de Mora";A;"Vide descrição do código de receita principal."
1113010700000000;"Imposto sobre a Renda de Pessoa Física - IRPF - Dívida Ativa - Multas da Dívida Ativa";A;"Vide descrição do código de receita principal."
1113010800000000;"Imposto sobre a Renda de Pessoa Física - IRPF - Juros de Mora da Dívida Ativa";A;"Vide descrição do código de receita principal."
1113020000000000;"Imposto sobre a Renda de Pessoa Jurídica - IRPJ - Líquida de Incentivos";S;"Registra as receitas originadas do imposto incidente sobre o lucro das pessoas jurídicas de direito privado em geral e das chamadas empresas individuais, nas quais enquadram-se as firmas individuais e as pessoas físicas que exploram, com habitualidade, qualquer atividade econ“mica objetivando o lucro. A base de cálculo do imposto é o lucro real, o lucro presumido ou o lucro arbitrado. Nesta natureza, está excluída a parcela do imposto de renda pago por pessoas jurídicas que fizeram opção pela aplicação em projetos considerados prioritários para o desenvolvimento das regiões Norte, Nordeste e do Estado do Espírito Santo, conforme Medida Provisória n.§ 2.199-14, de 24 de agosto de 2001."
1113020100000000;"Imposto sobre a Renda de Pessoa Jurídica - IRPJ - Líquida de Incentivos - Principal";A;"Vide descrição do código de receita principal."
1113020200000000;"Imposto sobre a Renda de Pessoa Jurídica - IRPJ - Líquida de Incentivos - Multas e Juros de Mora";A;"Vide descrição do código de receita principal."
1113020300000000;"Imposto sobre a Renda de Pessoa Jurídica - IRPJ - Líquida de Incentivos - Dívida Ativa";A;"Vide descrição do código de receita principal."
1113020400000000;"Imposto sobre a Renda de Pessoa Jurídica - IRPJ - Líquida de Incentivos - Dívida Ativa - Multas e Juros de Mora da Dívida Ativa";A;"Vide descrição do código de receita principal."
1113020500000000;"Imposto sobre a Renda de Pessoa Jurídica - IRPJ - Líquida de Incentivos - Multas";A;"Vide descrição do código de receita principal."
1113020600000000;"Imposto sobre a Renda de Pessoa Jurídica - IRPJ - Líquida de Incentivos - Juros de Mora";A;"Vide descrição do código de receita principal."
1113020700000000;"Imposto sobre a Renda de Pessoa Jurídica - IRPJ - Líquida de Incentivos - Dívida Ativa - Multas da Dívida Ativa";A;"Vide descrição do código de receita principal."
1113020800000000;"Imposto sobre a Renda de Pessoa Jurídica - IRPJ - Líquida de Incentivos - Juros de Mora da Dívida Ativa";A;"Vide descrição do código de receita principal."
1113030000000000;"Imposto sobre a Renda - Retido na Fonte";S;"Agrega as receitas originadas do imposto sobre a renda retido na fonte, calculado sobre salários, a qualquer título, ou sobre capital."
1113031000000000;"Imposto sobre a Renda - Retido na Fonte - Trabalho";S;"Registra as receitas originadas do imposto sobre a renda calculado sobre salários, a qualquer título."
1113031100000000;"Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal";A;"Vide descrição do código de receita principal."
1113031200000000;"Imposto sobre a Renda - Retido na Fonte - Trabalho - Multas e Juros de Mora";A;"Vide descrição do código de receita principal."
1113031300000000;"Imposto sobre a Renda - Retido na Fonte - Trabalho - Dívida Ativa";A;"Vide descrição do código de receita principal."
1113031400000000;"Imposto sobre a Renda - Retido na Fonte - Trabalho - Dívida Ativa - Multas e Juros de Mora da Dívida Ativa";A;"Vide descrição do código de receita principal."
1113031500000000;"Imposto sobre a Renda - Retido na Fonte - Trabalho - Multas";A;"Vide descrição do código de receita principal."
1113031600000000;"Imposto sobre a Renda - Retido na Fonte - Trabalho - Juros de Mora";A;"Vide descrição do código de receita principal."
1113031700000000;"Imposto sobre a Renda - Retido na Fonte - Trabalho - Dívida Ativa - Multas da Dívida Ativa";A;"Vide descrição do código de receita principal."
1113031800000000;"Imposto sobre a Renda - Retido na Fonte - Trabalho - Juros de Mora da Dívida Ativa";A;"Vide descrição do código de receita principal."
1113032000000000;"Imposto sobre a Renda - Retido na Fonte - Capital";S;"Registra as receitas originadas do imposto sobre a renda calculado sobre os juros pagos a título de remuneração do capital próprio, rendimento de aplicações financeiras, fundos de investimento cultural e artístico, aluguéis e royalties pagos a pessoa física, rendimentos de partes beneficiárias ou de fundador, operações de swap e operações de day trade."
1113032100000000;"Imposto sobre a Renda - Retido na Fonte - Capital - Principal";A;"Vide descrição do código de receita principal."
1113032200000000;"Imposto sobre a Renda - Retido na Fonte - Capital - Multas e Juros de Mora";A;"Vide descrição do código de receita principal."
1113032300000000;"Imposto sobre a Renda - Retido na Fonte - Capital - Dívida Ativa";A;"Vide descrição do código de receita principal."
1113032400000000;"Imposto sobre a Renda - Retido na Fonte - Capital - Dívida Ativa - Multas e Juros de Mora da Dívida Ativa";A;"Vide descrição do código de receita principal."
1113032500000000;"Imposto sobre a Renda - Retido na Fonte - Capital - Multas";A;"Vide descrição do código de receita principal."
1113032600000000;"Imposto sobre a Renda - Retido na Fonte - Capital - Juros de Mora";A;"Vide descrição do código de receita principal."
1113032700000000;"Imposto sobre a Renda - Retido na Fonte - Capital - Dívida Ativa - Multas da Dívida Ativa";A;"Vide descrição do código de receita principal."
1113032800000000;"Imposto sobre a Renda - Retido na Fonte - Capital - Juros de Mora da Dívida Ativa";A;"Vide descrição do código de receita principal."
1113033000000000;"Imposto sobre a Renda - Retido na Fonte - Remessa ao Exterior";S;"Registra as receitas originadas do imposto sobre a renda incidente sobre importƒncias pagas, creditadas, entregues, empregadas ou remetidas ao exterior por fonte localizada no Brasil referentes a royalties e pagamentos de assistˆncia técnica, juros e concessões em geral, juros sobre o capital próprio, aluguel e arrendamento, renda e proventos de qualquer natureza, fretes internacionais, previdˆncia privada e remuneração de direitos e obras audiovisuais, e ainda sobre aplicações em fundos de conversão de débitos externos e aplicações financeiras por entidades de investimento coletivo, nos dois casos com participação exclusiva de residentes ou domiciliados no exterior."
1113033100000000;"Imposto sobre a Renda - Retido na Fonte - Remessa ao Exterior - Principal";A;"Vide descrição do código de receita principal."
1113033200000000;"Imposto sobre a Renda - Retido na Fonte - Remessa ao Exterior - Multas e Juros de Mora";A;"Vide descrição do código de receita principal."
1113033300000000;"Imposto sobre a Renda - Retido na Fonte - Remessa ao Exterior - Dívida Ativa";A;"Vide descrição do código de receita principal."
1113033400000000;"Imposto sobre a Renda - Retido na Fonte - Remessa ao Exterior - Dívida Ativa - Multas e Juros de Mora da Dívida Ativa";A;"Vide descrição do código de receita principal."
1113033500000000;"Imposto sobre a Renda - Retido na Fonte - Remessa ao Exterior - Multas";A;"Vide descrição do código de receita principal."
1113033600000000;"Imposto sobre a Renda - Retido na Fonte - Remessa ao Exterior - Juros de Mora";A;"Vide descrição do código de receita principal."
1113033700000000;"Imposto sobre a Renda - Retido na Fonte - Remessa ao Exterior - Dívida Ativa - Multas da Dívida Ativa";A;"Vide descrição do código de receita principal."
1113033800000000;"Imposto sobre a Renda - Retido na Fonte - Remessa ao Exterior - Juros de Mora da Dívida Ativa";A;"Vide descrição do código de receita principal."
1113034000000000;"Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos";X;""Registra as receitas originadas do imposto sobre a renda incidente sobre importƒncias pagas ou creditadas por pessoa jurídica a: pessoa jurídica, a título de comissões e corretagens, serviços de propaganda prestados, remuneração de serviços profissionais e serviços de limpeza, conservação, segurança e locação de mão-de-obra"
1113034100000000;"Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Principal";A;"Vide descrição do código de receita principal."
1113034200000000;"Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Multas e Juros de Mora";A;"Vide descrição do código de receita principal."
1113034300000000;"Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Dívida Ativa";A;"Vide descrição do código de receita principal."
1113034400000000;"Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Dívida Ativa - Multas e Juros de Mora da Dívida Ativa";A;"Vide descrição do código de receita principal."
1113034500000000;"Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Multas";A;"Vide descrição do código de receita principal."
1113034600000000;"Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Juros de Mora";A;"Vide descrição do código de receita principal."
1113034700000000;"Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Dívida Ativa - Multas da Dívida Ativa";A;"Vide descrição do código de receita principal."
1113034800000000;"Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Juros de Mora da Dívida Ativa";A;"Vide descrição do código de receita principal."
1114000000000000;"Impostos sobre a Produção e Circulação de Mercadorias e Serviços";X;""Agrega as receitas originadas de impostos sobre a produção e a circulação. Estão incluídas neste grupo as receitas originadas dos seguintes impostos: sobre Produtos Industrializados - IPI e sobre Operações de Crédito, Cƒmbio e Seguro, ou Relativas a Títulos ou Valores Mobiliários - IOF, de competência da União"
1114010000000000;"Imposto sobre Produtos Industrializados - IPI";X;""Agrega as receitas originadas do Imposto sobre Produtos Industrializados. Industrialização, entendida como a modificação de natureza ou finalidade do produto, ou ainda o seu aperfeiçoamento para consumo. Quanto ao aspecto temporal, considera-se que o fato gerador ocorreu no momento do desembaraço aduaneiro, quando os produtos são de procedˆncia estrangeira"
1114011000000000;"Imposto sobre Produtos Industrializados - IPI - Fumo";S;"Registra as receitas originadas do Imposto sobre Produtos Industrializados incidente sobre fumo (tabaco) manufaturado e não manufaturado, assim como sobre seus sucedƒneos manufaturados (charutos, cigarrilhas e cigarros)."
1114011100000000;"Imposto sobre Produtos Industrializados - IPI - Fumo - Principal";A;"Vide descrição do código de receita principal."
1114011200000000;"Imposto sobre Produtos Industrializados - IPI - Fumo - Multas e Juros de Mora";A;"Vide descrição do código de receita principal."
1114011300000000;"Imposto sobre Produtos Industrializados - IPI - Fumo - Dívida Ativa";A;"Vide descrição do código de receita principal."
1114011400000000;"Imposto sobre Produtos Industrializados - IPI - Fumo - Dívida Ativa - Multas e Juros de Mora da Dívida Ativa";A;"Vide descrição do código de receita principal."
1114011500000000;"Imposto sobre Produtos Industrializados - IPI - Fumo - Multas";A;"Vide descrição do código de receita principal."
1114011600000000;"Imposto sobre Produtos Industrializados - IPI - Fumo - Juros de Mora";A;"Vide descrição do código de receita principal."
1114011700000000;"Imposto sobre Produtos Industrializados - IPI - Fumo - Dívida Ativa - Multas da Dívida Ativa";A;"Vide descrição do código de receita principal."
1114011800000000;"Imposto sobre Produtos Industrializados - IPI - Fumo - Juros de Mora da Dívida Ativa";A;"Vide descrição do código de receita principal."
1114012000000000;"Imposto sobre Produtos Industrializados - IPI- Bebidas";S;"Registra as receitas originadas do Imposto sobre Produtos Industrializados incidente sobre água mineral, gelo, refrigerantes, cervejas de malte, vinhos, álcool etílico não desnaturado, álcool etílico e aguardentes desnaturados, licores, gim, vodca, rum, vinagres e seus sucedƒneos, obtidos a partir do ácido acético, para usos alimentares, entre outros."
1114012100000000;"Imposto sobre Produtos Industrializados - IPI- Bebidas - Principal";A;"Vide descrição do código de receita principal."
1114012200000000;"Imposto sobre Produtos Industrializados - IPI- Bebidas - Multas e Juros de Mora";A;"Vide descrição do código de receita principal."
1114012300000000;"Imposto sobre Produtos Industrializados - IPI- Bebidas - Dívida Ativa";A;"Vide descrição do código de receita principal."
1114012400000000;"Imposto sobre Produtos Industrializados - IPI- Bebidas - Dívida Ativa - Multas e Juros de Mora da Dívida Ativa";A;"Vide descrição do código de receita principal."
1114012500000000;"Imposto sobre Produtos Industrializados - IPI- Bebidas - Multas";A;"Vide descrição do código de receita principal."
1114012600000000;"Imposto sobre Produtos Industrializados - IPI- Bebidas - Juros de Mora";A;"Vide descrição do código de receita principal."
1114012700000000;"Imposto sobre Produtos Industrializados - IPI- Bebidas - Dívida Ativa - Multas da Dívida Ativa";A;"Vide descrição do código de receita principal."
1114012800000000;"Imposto sobre Produtos Industrializados - IPI- Bebidas - Juros de Mora da Dívida Ativa";A;"Vide descrição do código de receita principal."
1114013000000000;"Imposto sobre Produtos Industrializados - IPI - Automóveis";X;""Registra as receitas originadas do Imposto sobre Produtos Industrializados incidente sobre veículos e material para vias férreas ou semelhantes, e suas partes"
1114013100000000;"Imposto sobre Produtos Industrializados - IPI - Automóveis - Principal";A;"Vide descrição do código de receita principal."
1114013200000000;"Imposto sobre Produtos Industrializados - IPI - Automóveis - Multas e Juros de Mora";A;"Vide descrição do código de receita principal."
1114013300000000;"Imposto sobre Produtos Industrializados - IPI - Automóveis - Dívida Ativa";A;"Vide descrição do código de receita principal."
1114013400000000;"Imposto sobre Produtos Industrializados - IPI - Automóveis - Dívida Ativa - Multas e Juros de Mora da Dívida Ativa";A;"Vide descrição do código de receita principal."
1114013500000000;"Imposto sobre Produtos Industrializados - IPI - Automóveis - Multas";A;"Vide descrição do código de receita principal."
1114013600000000;"Imposto sobre Produtos Industrializados - IPI - Automóveis - Juros de Mora";A;"Vide descrição do código de receita principal."
1114013700000000;"Imposto sobre Produtos Industrializados - IPI - Automóveis - Dívida Ativa - Multas da Dívida Ativa";A;"Vide descrição do código de receita principal."
1114013800000000;"Imposto sobre Produtos Industrializados - IPI - Automóveis - Juros de Mora da Dívida Ativa";A;"Vide descrição do código de receita principal."
1114014000000000;"Imposto sobre Produtos Industrializados - IPI - Vinculados à Importação";S;"Registra as receitas originadas do Imposto sobre Produtos Industrializados incidente sobre produtos industrializados de procedˆncia estrangeira. O fato gerador é o desembaraço aduaneiro."
1114014100000000;"Imposto sobre Produtos Industrializados - IPI - Vinculados à Importação - Principal";A;"Vide descrição do código de receita principal."
1114014200000000;"Imposto sobre Produtos Industrializados - IPI - Vinculados à Importação - Multas e Juros de Mora";A;"Vide descrição do código de receita principal."
1114014300000000;"Imposto sobre Produtos Industrializados - IPI - Vinculados à Importação - Dívida Ativa";A;"Vide descrição do código de receita principal."
1114014400000000;"Imposto sobre Produtos Industrializados - IPI - Vinculados à Importação - Dívida Ativa - Multas e Juros de Mora da Dívida Ativa";A;"Vide descrição do código de receita principal."
1114014500000000;"Imposto sobre Produtos Industrializados - IPI - Vinculados à Importação - Multas";A;"Vide descrição do código de receita principal."
1114014600000000;"Imposto sobre Produtos Industrializados - IPI - Vinculados à Importação - Juros de Mora";A;"Vide descrição do código de receita principal."
1114014700000000;"Imposto sobre Produtos Industrializados - IPI - Vinculados à Importação - Dívida Ativa - Multas da Dívida Ativa";A;"Vide descrição do código de receita principal."
1114014800000000;"Imposto sobre Produtos Industrializados - IPI - Vinculados à Importação - Juros de Mora da Dívida Ativa";A;"Vide descrição do código de receita principal."
1114015000000000;"Imposto sobre Produtos Industrializados - IPI - Outros Produtos";S;"Registra as receitas originadas do Imposto sobre Produtos Industrializados incidente sobre as demais mercadorias relacionadas na Tabela de Incidˆncia do Imposto sobre Produtos Industrializados - TIPI."
1114015100000000;"Imposto sobre Produtos Industrializados - IPI - Outros Produtos - Principal";A;"Vide descrição do código de receita principal."
1114015200000000;"Imposto sobre Produtos Industrializados - IPI - Outros Produtos - Multas e Juros de Mora";A;"Vide descrição do código de receita principal."
1114015300000000;"Imposto sobre Produtos Industrializados - IPI - Outros Produtos - Dívida Ativa";A;"Vide descrição do código de receita principal."
