"Classe";"Grupo";"Sub_grupo";"Titulo";"Sub Título";"Ítem";"Sub Ítem";"Conta";"Título";"Função";"Natureza de Saldo";"PCASP Federação";"Status";"Nível de detalhamento";"Indicador de Superavit Financeiro";"PCASP RPPS";"Utilizada pela União";"Utilizada por Estados e DF";"Utilizada por Municípios";"Operação";"Campos alterados"
"1";"1";"1";"1";"1";"30";"00";"1.1.1.1.1.30.00";"REDE BANCARIA - ARRECADAÇÃO";"Compreende/Registra o somatório dos recursos referentes a receitas arrecadadas e não recolhidas.";"Devedora";"Não";"Ativa";"Último";"Financeiro";"Não";"Sim";"Sim";"Sim";"Original";
"1";"1";"1";"1";"1";"50";"00";"1.1.1.1.1.50.00";"APLICAÇÕES FINANCEIRAS DE LIQUIDEZ IMEDIATA - USO GERAL";"Compreende as aplicações financeiras de alta liquidez em moeda nacional, que são prontamente conversíveis em valores conhecidos de caixa e que estão sujeitas a um insignificante risco de mudança de valor.";"Devedora";"Não";"Ativa";"Último";"Financeiro";"Não";"Sim";"Sim";"Sim";"Original";
"1";"1";"1";"1";"1";"51";"00";"1.1.1.1.1.51.00";"APLICAÇÕES FINANCEIRAS DE LIQUIDEZ IMEDIATA- RPPS - FUNDO EM REPARTIÇÃO";"Compreende as aplicações financeiras de alta liquidez em moeda nacional dos Regimes Próprios de Previdência Social , advindas de recursos do Fundo em Repartição, que são prontamente conversíveis em valores conhecidos de caixa e que estão sujeitas a um insignificante risco de mudança de valor.";"Devedora";"Não";"Ativa";"Último";"Financeiro";"Sim";"Sim";"Sim";"Sim";"Original";
"1";"1";"1";"1";"1";"52";"00";"1.1.1.1.1.52.00";"APLICAÇÕES FINANCEIRAS DE LIQUIDEZ IMEDIATA - RPPS - TAXA DE ADMINISTRAÇÃO";"Compreende as aplicações financeiras de alta liquidez em moeda nacional dos Regimes Próprios de Previdência Social , advindas de recursos da Taxa de Administração, que são prontamente conversíveis em valores conhecidos de caixa e que estão sujeitas a um insignificante risco de mudança de valor.";"Devedora";"Não";"Ativa";"Último";"Financeiro";"Sim";"Sim";"Sim";"Sim";"Original";
"1";"1";"1";"1";"1";"53";"00";"1.1.1.1.1.53.00";"APLICAÇÕES FINANCEIRAS DE LIQUIDEZ IMEDIATA- RPPS - FUNDO EM CAPITALIZAÇÃO";"Compreende as aplicações financeiras de alta liquidez em moeda nacional dos Regimes Próprios de Previdência Social , advindas de recursos do Fundo em Capitalização, que são prontamente conversíveis em valores conhecidos de caixa e que estão sujeitas a um insignificante risco de mudança de valor.";"Devedora";"Não";"Ativa";"Último";"Financeiro";"Sim";"Sim";"Sim";"Sim";"Original";
"1";"1";"1";"1";"2";"00";"00";"1.1.1.1.2.00.00";"CAIXA E EQUIVALENTES DE CAIXA EM MOEDA NACIONAL - INTRA OFSS";"Compreende/Registra o somatório dos valores de caixa e equivalentes de caixa em moeda nacional. Compreende os saldos que serão excluídos nos demonstrativos consolidados do orçamento fiscal e da seguridade social (OFSS) do ente -  limite de saque.";"Devedora";"Sim";"Ativa";"Último";"Financeiro";"Sim";"Sim";"Sim";"Sim";"Original";
"1";"1";"1";"2";"0";"00";"00";"1.1.1.2.0.00.00";"CAIXA E EQUIVALENTES DE CAIXA EM MOEDA ESTRANGEIRA";"Compreende o somatório dos valores de caixa e equivalentes de caixa em moeda estrangeira.";"Devedora";"Sim";"Ativa";"Superior";;"Sim";;;;"Original";
"1";"1";"1";"2";"1";"00";"00";"1.1.1.2.1.00.00";"CAIXA E EQUIVALENTES DE CAIXA EM MOEDA ESTRANGEIRA - CONSOLIDAÇÃO";"Compreende o somatório dos valores de caixa e equivalentes de caixa em moeda estrangeira. Compreende os saldos que não serão excluídos nos demonstrativos consolidados do orçamento fiscal e da seguridade social (OFSS).";"Devedora";"Sim";"Ativa";"Superior";;"Sim";;;;"Original";
"1";"1";"1";"2";"1";"01";"00";"1.1.1.2.1.01.00";"CAIXA";"Compreende/Registra o somatório de numerários em espécie e outros valores em tesouraria no exterior";"Devedora";"Não";"Ativa";"Último";"Financeiro";"Não";"Sim";"Sim";"Sim";"Original";
"1";"1";"1";"2";"1";"02";"00";"1.1.1.2.1.02.00";"BANCOS";"Compreende/Registra a livre movimentação de recursos financeiros em moeda estrangeira mantidos em contas bancárias no exterior.";"Devedora";"Não";"Ativa";"Último";"Financeiro";"Não";"Sim";"Sim";"Sim";"Original";
"1";"1";"1";"2";"1";"03";"00";"1.1.1.2.1.03.00";"APLICAÇÕES FINANCEIRAS DE LIQUIDEZ IMEDIATA";"Compreende/Registra as aplicações financeiras de alta liquidez em moeda estrangeira, que são prontamente conversíveis em valores conhecidos de caixa e que estão sujeitas a um insignificante risco de mudança de valor, inclusive as aplicações referentes ao fechamento de câmbio para aquisição de moeda estrangeira e as aplicações de depósitos com juros em moeda estrangeira realizadas no curtíssimo prazo.";"Devedora";"Não";"Ativa";"Último";"Financeiro";"Não";"Sim";"Sim";"Sim";"Original";
"1";"1";"1";"3";"0";"00";"00";"1.1.1.3.0.00.00";"CAIXA E EQUIVALENTES DE CAIXA - VALORES RESTITUÍVEIS E VINCULADOS";"Compreende o somatórios dos valores em Caixa e Equivalentes de Caixa, quando a entidade do setor público for fiel depositária de recursos oriundos de terceiros ou retenções em nome deles.";"Devedora";"Sim";"Ativa";"Superior";;"Sim";;;;"Original";
"1";"1";"1";"3";"1";"00";"00";"1.1.1.3.1.00.00";"DEPÓSITOS RESTITUÍVEIS E VALORES VINCULADOS - CONSOLIDAÇÃO";"Compreende o somatórios dos valores em Caixa e Equivalentes de Caixa, quando a entidade do setor público for fiel depositária de recursos oriundos de terceiros ou retenções em nome deles. Compreende os saldos que serão excluídos nos demonstrativos consolidados do orçamento fiscal e da seguridade social (OFSS).";"Devedora";"Sim";"Ativa";"Superior";;"Sim";;;;"Original";
"1";"1";"1";"3";"1";"01";"00";"1.1.1.3.1.01.00";"DEPÓSITOS CONSIGNADOS";"Compreende os valores recebidos em confiança ou em consignações, geralmente retidos em folha de pagamento de empregados ou servidores ou nos pagamentos referentes a compras de bens e serviços.";"Devedora";"Não";"Ativa";"Último";"Financeiro";"Não";"Sim";"Sim";"Sim";"Original";
"1";"1";"1";"3";"1";"02";"00";"1.1.1.3.1.02.00";"GARANTIAS";"Compreende/Registra o valor em Caixa e Equivalentes de Caixa referente à garantia do cumprimento de uma obrigação, que se efetiva com o oferecimento de bens ou recursos financeiros ou ainda retenções de um percentual do valor do contrato como garantia de cumprimento do mesmo.";"Devedora";"Não";"Ativa";"Último";"Financeiro";"Não";"Sim";"Sim";"Sim";"Original";
"1";"1";"1";"3";"1";"03";"00";"1.1.1.3.1.03.00";"DEPÓSITOS JUDICIAIS";"Compreende o valor em Caixa e Equivalentes de Caixa, decorrentes de depósitos recebidos por determinação judicial e depósitos para recursos judiciais, passíveis de serem restituídos.";"Devedora";"Não";"Ativa";"Último";"Financeiro";"Não";"Sim";"Sim";"Sim";"Original";
"1";"1";"1";"3";"1";"04";"00";"1.1.1.3.1.04.00";"DEPÓSITOS NÃO JUDICIAIS";"Compreende o valor em Caixa e Equivalentes de Caixa decorrentes de depósitos recebidos, que devem ser restituídos. Exceto depósitos judiciais.";"Devedora";"Não";"Ativa";"Último";"Financeiro";"Não";"Sim";"Sim";"Sim";"Original";
"1";"1";"1";"3";"1";"05";"00";"1.1.1.3.1.05.00";"PRECATÓRIOS";"Compreende o valor em Caixa e Equivalentes de Caixa dos valores do ente público depositados em conta especial para pagamento de precatórios.";"Devedora";"Não";"Ativa";"Último";"Financeiro";"Não";"Sim";"Sim";"Sim";"Original";
"1";"1";"1";"3";"1";"06";"00";"1.1.1.3.1.06.00";"OUTROS VALORES RESTITUÍVEIS";"Compreende/Registra os valores restituíveis em Caixa e Equivalentes de Caixa em posse da entidade, no papel de fiel depositária.";"Devedora";"Não";"Ativa";"Último";"Financeiro";"Não";"Sim";"Sim";"Sim";"Original";
"1";"1";"1";"3";"2";"00";"00";"1.1.1.3.2.00.00";"VALORES RESTITUÍVEIS - INTRA OFSS";"Compreende os valores em Caixa e Equivalentes de Caixade de terceiros ou retenções em nome deles, quando a entidade do setor público for fiel depositaria, exigíveis no curto prazo. Compreende os saldos INTRA que serão excluídos nos demonstrativos consolidados do orçamento fiscal e da seguridade social (OFSS).. Definições de CEC 4a, reunião Extraordinária de 2021- CTCONF.";"Devedora";"Sim";"Ativa";"Superior";;"Sim";;;;"Original";
"1";"1";"1";"3";"2";"01";"00";"1.1.1.3.2.01.00";"CONSIGNAÇÕES";"Compreende o valor em Caixa e Equivalentes de Caixa recebido em confiança ou em consignações, geralmente retidos em folha de pagamento de empregados ou servidores ou nos pagamentos referentes a compras de bens e serviços INTRA OFSS.";"Devedora";"Não";"Ativa";"Superior";;"Não";;;;"Original";
"1";"1";"1";"3";"2";"01";"01";"1.1.1.3.2.01.01";"RPPS - RETENÇÕES SOBRE VENCIMENTOS E VANTAGENS";"Registra o valor em Caixa e Equivalentes de Caixa das retenções efetuadas em pagamentos a servidores a ser recolhido ao RPPS do servidor.";"Devedora";"Não";"Ativa";"Último";"Financeiro";"Não";"Sim";"Sim";"Sim";"Original";
"1";"1";"1";"3";"2";"01";"02";"1.1.1.3.2.01.02";"OUTRAS CONSIGNAÇÕES";"Registra o valor em Caixa e Equivalentes de Caixa recebido em confiança ou em consignações não classificados em itens anteriores.";"Devedora";"Não";"Ativa";"Último";"Financeiro";"Não";"Sim";"Sim";"Sim";"Original";
"1";"1";"2";"0";"0";"00";"00";"1.1.2.0.0.00.00";"CRÉDITOS A CURTO PRAZO";"Compreende os valores a receber por fornecimento de bens, serviços, créditos tributários, dívida ativa, transferências e empréstimos e financiamentos concedidos realizáveis em até 12 meses da data das demonstrações.";"Devedora";"Sim";"Ativa";"Superior";;"Sim";;;;"Original";
"1";"1";"2";"1";"0";"00";"00";"1.1.2.1.0.00.00";"CRÉDITOS TRIBUTÁRIOS A RECEBER";"Compreende os valores relativos a créditos a receber oriundos das variações patrimoniais aumentativas tributárias, realizáveis em até 12 meses da data das demonstrações. Os tributos são: impostos, taxas, contribuições de melhoria, contribuições e empréstimos compulsórios.";"Devedora";"Sim";"Ativa";"Superior";;"Sim";;;;"Original";
"1";"1";"2";"1";"1";"00";"00";"1.1.2.1.1.00.00";"CRÉDITOS TRIBUTÁRIOS A RECEBER - CONSOLIDAÇÃO";"Compreende os valores relativos a créditos a receber oriundos das variações patrimoniais aumentativas tributárias, realizáveis em até 12 meses da data das demonstrações.. Os tributos são: impostos, taxas, contribuições de melhoria, contribuições e empréstimos compulsórios. Compreende os saldos que não serão excluídos nos demonstrativos consolidados do orçamento fiscal e da seguridade social (OFSS).";"Devedora";"Sim";"Ativa";"Superior";;"Sim";;;;"Original";
"1";"1";"2";"1";"1";"01";"00";"1.1.2.1.1.01.00";"IMPOSTOS";"Compreende os valores relativos aos créditos a receber, decorrentes da cobrança da modalidade de tributo cuja obrigação tem por fato gerador uma situação independente de qualquer atividade estatal específica relativa ao contribuinte.";"Devedora";"Não";"Ativa";"Superior";;"Não";;;;"Original";
"1";"1";"2";"1";"1";"01";"01";"1.1.2.1.1.01.01";"IMPOSTO SOBRE A RENDA E PROVENTOS DE QUALQUER NATUREZA";"Registra os valores relativos a créditos a receber, decorrentes da cobrança do Imposto sobre a Renda e Proventos de Qualquer Natureza retidos na fonte.";"Devedora";"Não";"Ativa";"Último";"Permanente";"Não";"Sim";"Sim";"Sim";"Original";
"1";"1";"2";"1";"1";"01";"02";"1.1.2.1.1.01.02";"IPVA";"Registra os valores relativos a créditos a receber, decorrentes da cobrança do Imposto sobre a Propriedade de Veículos Automotores.";"Devedora";"Não";"Ativa";"Último";"Permanente";"Não";;"Sim";;"Original";
"1";"1";"2";"1";"1";"01";"03";"1.1.2.1.1.01.03";"ITCMD";"Registra os valores relativos a créditos a receber, decorrentes da cobrança do Imposto sobre Transmissão ""Causa Mortis"" e Doação de Bens e Direitos.";"Devedora";"Não";"Ativa";"Último";"Permanente";"Não";;"Sim";;"Original";
"1";"1";"2";"1";"1";"01";"04";"1.1.2.1.1.01.04";"ICMS";"Registra os valores relativos a créditos a receber, decorrentes da cobrança do Imposto sobre Operações Relativas a circulação de Mercadorias e sobre Prestação de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação.";"Devedora";"Não";"Ativa";"Último";"Permanente";"Não";;"Sim";;"Original";
"1";"1";"2";"1";"1";"01";"05";"1.1.2.1.1.01.05";"IPTU";"Registra os valores relativos a créditos a receber, decorrentes da cobrança do Imposto sobre a Propriedade Predial e Territorial Urbana.";"Devedora";"Não";"Ativa";"Último";"Permanente";"Não";;;"Sim";"Original";
"1";"1";"2";"1";"1";"01";"06";"1.1.2.1.1.01.06";"ITBI";"Registra os valores relativos a créditos a receber, decorrentes da cobrança do Imposto sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis";"Devedora";"Não";"Ativa";"Último";"Permanente";"Não";;;"Sim";"Original";
"1";"1";"2";"1";"1";"01";"07";"1.1.2.1.1.01.07";"ISS";"Registra os valores relativos aos créditos a receber, decorrentes do Imposto Sobre Serviços de Qualquer Natureza.";"Devedora";"Não";"Ativa";"Último";"Permanente";"Não";;;"Sim";"Original";
"1";"1";"2";"1";"1";"01";"08";"1.1.2.1.1.01.08";"ITR";"Registra os valores relativos aos créditos a receber, decorrentes do Imposto Sobre a Propriedade Territorial Rural, devidos aos municípios ou ao Distrito Federal devido a convênios firmados com a União, conforme inciso III, parágrafo 4º do artigo 153 da Constituição Federal.";"Devedora";"Não";"Ativa";"Último";"Permanente";"Não";;;"Sim";"Original";
"1";"1";"2";"1";"1";"01";"99";"1.1.2.1.1.01.99";"OUTROS IMPOSTOS A RECEBER";"Registra os valores relativos aos impostos a receber não classificadas em itens anteriores.";"Devedora";"Não";"Ativa";"Último";"Permanente";"Não";"Sim";"Sim";"Sim";"Original";
"1";"1";"2";"1";"1";"02";"00";"1.1.2.1.1.02.00";"TAXAS";"Compreende os valores relativos aos créditos a receber, decorrentes da cobrança da modalidade de tributo que tem como fato gerador o exercício regular do poder de polícia ou a utilização efetiva ou potencial de serviço público específico e divisível, prestado ao contribuinte ou posto a sua disposição.";"Devedora";"Não";"Ativa";"Superior";;"Não";;;;"Original";
"1";"1";"2";"1";"1";"02";"01";"1.1.2.1.1.02.01";"TAXAS PELO EXERCÍCIO DO PODER DE POLÍCIA";"Registra os valores relativos aos créditos a receber, decorrentes da cobrança das taxas pelo exercício do poder de polícia.";"Devedora";"Não";"Ativa";"Último";"Permanente";"Não";"Sim";"Sim";"Sim";"Original";
"1";"1";"2";"1";"1";"02";"02";"1.1.2.1.1.02.02";"TAXAS PELA PRESTAÇÃO DE SERVIÇOS";"Registra os valores relativos aos créditos a receber, decorrentes da cobrança das taxas pela prestação de serviços.";"Devedora";"Não";"Ativa";"Último";"Permanente";"Não";"Sim";"Sim";"Sim";"Original";
"1";"1";"2";"1";"1";"03";"00";"1.1.2.1.1.03.00";"CONTRIBUIÇÕES DE MELHORIA";"Compreende os valores relativos aos créditos a receber, decorrentes da cobrança dos valores decorrentes da contribuição instituída para fazer face ao custo de obras públicas de que decorra valorização imobiliária.";"Devedora";"Não";"Ativa";"Superior";;"Não";;;;"Original";
"1";"1";"2";"1";"1";"03";"01";"1.1.2.1.1.03.01";"CONTRIBUIÇÕES DE MELHORIA";"Registra os valores relativos aos créditos aos créditos a receber, decorrentes da cobrança das contribuições de melhoria.";"Devedora";"Não";"Ativa";"Último";"Permanente";"Não";"Sim";"Sim";"Sim";"Original";
"1";"1";"2";"1";"1";"04";"00";"1.1.2.1.1.04.00";"DEMAIS CONTRIBUIÇÕES";"Compreende os valores relativos aos créditos a receber, decorrentes da cobrança das demais contribuições.";"Devedora";"Não";"Ativa";"Superior";;"Não";;;;"Original";
"1";"1";"2";"1";"1";"04";"01";"1.1.2.1.1.04.01";"CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA";"Registra os valores relativos aos créditos a receber dos Municípios e o Distrito Federal que instituírem contribuição, na forma das respectivas leis, para o custeio do serviço de iluminação pública, conforme artigo 149-A da Constituição Federal de 1988.

";"Devedora";"Não";"Ativa";"Último";"Permanente";"Não";;;"Sim";"Original";
"1";"1";"2";"1";"1";"05";"00";"1.1.2.1.1.05.00";"CONTRIBUIÇÕES PREVIDENCIÁRIAS A RECEBER";"Compreende os valores relativos aos créditos a receber, decorrentes das contribuições para o financiamento do regime geral de previdência social.";"Devedora";"Não";"Ativa";"Superior";;"Sim";;;;"Original";
"1";"1";"2";"1";"1";"05";"02";"1.1.2.1.1.05.02";"CONTRIBUIÇÕES DO RGPS A RECEBER";"Registra os valores relativos aos créditos a receber, decorrentes das contribuições previdenciárias do RPGS.";"Devedora";"Não";"Ativa";"Último";"Permanente";"Não";"Sim";"Sim";"Sim";"Original";
"1";"1";"2";"1";"1";"05";"99";"1.1.2.1.1.05.99";"OUTRAS CONTRIBUIÇÕES PREVIDENCIÁRIAS A RECEBER";"Registra os valores relativos aos créditos a receber, decorrentes das demais contribuições à previdência social.";"Devedora";"Não";"Ativa";"Último";"Permanente";"Não";"Sim";"Sim";"Sim";"Original";
"1";"1";"2";"1";"1";"70";"00";"1.1.2.1.1.70.00";"CRÉDITOS TRIBUTARIOS PARCELADOS";"Compreende/Registra os valores relativos aos créditos aos créditos a receber, decorrentes de Créditos Tributários Parcelados, exceto créditos previdenciários.";"Devedora";"Não";"Ativa";"Último";"Permanente";"Não";"Sim";"Sim";"Sim";"Original";
"1";"1";"2";"1";"1";"71";"00";"1.1.2.1.1.71.00";"CRÉDITOS PREVIDENCIÁRIOS PARCELADOS";"Compreende/Registra os valores relativos aos  créditos a receber, decorrentes de parcelamentos de créditos de natureza previdenciária.";"Devedora";"Não";"Ativa";"Último";"Permanente";"Sim";"Sim";"Sim";"Sim";"Original";
"1";"1";"2";"1";"1";"99";"00";"1.1.2.1.1.99.00";"OUTROS CRÉDITOS TRIBUTÁRIOS A RECEBER";"Compreende/Registra os valores relativos aos créditos a receber não classificadas em itens anteriores.";"Devedora";"Não";"Ativa";"Último";"Permanente";"Sim";"Sim";"Sim";"Sim";"Original";
"1";"1";"2";"1";"2";"00";"00";"1.1.2.1.2.00.00";"CRÉDITOS TRIBUTÁRIOS A RECEBER - INTRA OFSS";"Compreende os valores relativos a créditos a receber oriundos das variações patrimoniais aumentativas tributárias, realizáveis em até 12 meses da data das demonstrações. Os tributos são: impostos, taxas, contribuições de melhoria, contribuições e empréstimos compulsórios. Compreende os saldos que serão excluídos nos demonstrativos consolidados do orçamento fiscal e da seguridade social (OFSS) do ente.";"Devedora";"Sim";"Ativa";"Superior";;"Sim";;;;"Original";
"1";"1";"2";"1";"2";"01";"00";"1.1.2.1.2.01.00";"IMPOSTOS";"Compreende os valores relativos aos créditos a receber, decorrentes da cobrança da modalidade de tributo cuja obrigação tem por fato gerador uma situação independente de qualquer atividade estatal específica relativa ao contribuinte.";"Devedora";"Não";"Ativa";"Superior";;"Não";;;;"Original";
"1";"1";"2";"1";"2";"01";"01";"1.1.2.1.2.01.01";"IMPOSTO SOBRE A RENDA E PROVENTOS DE QUALQUER NATUREZA";"Registra os valores relativos a créditos a receber, decorrentes da cobrança do Imposto sobre a Renda e Proventos de Qualquer Natureza retidos na fonte.";"Devedora";"Não";"Ativa";"Último";"Permanente";"Não";"Sim";"Sim";"Sim";"Original";
"1";"1";"2";"1";"2";"01";"02";"1.1.2.1.2.01.02";"IPVA";"Registra os valores relativos a créditos a receber, decorrentes da cobrança do Imposto sobre a Propriedade de Veículos Automotores.";"Devedora";"Não";"Ativa";"Último";"Permanente";"Não";;"Sim";;"Original";
"1";"1";"2";"1";"2";"01";"03";"1.1.2.1.2.01.03";"ITCMD";"Registra os valores relativos a créditos a receber, decorrentes da cobrança do Imposto sobre Transmissão ""Causa Mortis"" e Doação de Bens e Direitos.";"Devedora";"Não";"Ativa";"Último";"Permanente";"Não";;"Sim";;"Original";
"1";"1";"2";"1";"2";"01";"04";"1.1.2.1.2.01.04";"ICMS";"Registra os valores relativos a créditos a receber, decorrentes da cobrança do Imposto sobre Operações Relativas a circulação de Mercadorias e sobre Prestação de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação.";"Devedora";"Não";"Ativa";"Último";"Permanente";"Não";;"Sim";;"Original";
"1";"1";"2";"1";"2";"01";"05";"1.1.2.1.2.01.05";"IPTU";"Registra os valores relativos a créditos a receber, decorrentes da cobrança do Imposto sobre a Propriedade Predial e Territorial Urbana.";"Devedora";"Não";"Ativa";"Último";"Permanente";"Não";;;"Sim";"Original";
"1";"1";"2";"1";"2";"01";"06";"1.1.2.1.2.01.06";"ITBI";"Registra os valores relativos a créditos a receber, decorrentes da cobrança do Imposto sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis";"Devedora";"Não";"Ativa";"Último";"Permanente";"Não";;;"Sim";"Original";
"1";"1";"2";"1";"2";"01";"07";"1.1.2.1.2.01.07";"ISS";"Registra os valores relativos aos créditos a receber, decorrentes do Imposto Sobre Serviços de Qualquer Natureza.";"Devedora";"Não";"Ativa";"Último";"Permanente";"Não";;;"Sim";"Original";
"1";"1";"2";"1";"2";"01";"08";"1.1.2.1.2.01.08";"ITR";"Registra os valores relativos aos créditos a receber, decorrentes do Imposto Sobre a Propriedade Territorial Rural, devidos aos municípios ou ao Distrito Federal devido a convênios firmados com a União, conforme inciso III, parágrafo 4º do artigo 153 da Constituição Federal.";"Devedora";"Não";"Ativa";"Último";"Permanente";"Não";;;"Sim";"Original";
"1";"1";"2";"1";"2";"01";"99";"1.1.2.1.2.01.99";"OUTROS IMPOSTOS A RECEBER";"Registra os valores relativos aos impostos a receber não classificadas em itens anteriores.";"Devedora";"Não";"Ativa";"Último";"Permanente";"Não";"Sim";"Sim";"Sim";"Original";
"1";"1";"2";"1";"2";"02";"00";"1.1.2.1.2.02.00";"TAXAS";"Compreende os valores relativos aos créditos a receber, decorrentes da cobrança da modalidade de tributo que tem como fato gerador o exercício regular do poder de polícia ou a utilização efetiva ou potencial de serviço público específico e divisível, prestado ao contribuinte ou posto a sua disposição.";"Devedora";"Não";"Ativa";"Superior";;"Não";;;;"Original";
"1";"1";"2";"1";"2";"02";"01";"1.1.2.1.2.02.01";"TAXAS PELO EXERCÍCIO DO PODER DE POLÍCIA";"Registra os valores relativos aos créditos a receber, decorrentes da cobrança das taxas pelo exercício do poder de polícia.";"Devedora";"Não";"Ativa";"Último";"Permanente";"Não";"Sim";"Sim";"Sim";"Original";
"1";"1";"2";"1";"2";"02";"02";"1.1.2.1.2.02.02";"TAXAS PELA PRESTAÇÃO DE SERVIÇOS";"Registra os valores relativos aos créditos a receber, decorrentes da cobrança das taxas pela prestação de serviços.";"Devedora";"Não";"Ativa";"Último";"Permanente";"Não";"Sim";"Sim";"Sim";"Original";
"1";"1";"2";"1";"2";"03";"00";"1.1.2.1.2.03.00";"CONTRIBUIÇÕES DE MELHORIA";"Compreende os valores relativos aos créditos a receber, decorrentes da cobrança dos valores decorrentes da contribuição instituída para fazer face ao custo de obras públicas de que decorra valorização imobiliária.";"Devedora";"Não";"Ativa";"Superior";;"Não";;;;"Original";
